repetition_id,dataset_type,imbalance_ratio,model,strategy,train_set_size,accuracy,f1_macro,f1_minority,precision_minority,recall_minority,roc_auc
1,control,100:1,baseline,N/A,416,0.7772020725388601,0.7766023311529247,0.7650273224043715,0.7446808510638298,0.7865168539325843,0.8698141745894554
1,control,100:1,ddpm,Naive Oversampling,416,0.7772020725388601,0.7763374208327719,0.7624309392265194,0.75,0.7752808988764045,0.8708405358686255
1,control,100:1,nflow,Naive Oversampling,416,0.7772020725388601,0.7766023311529247,0.7650273224043715,0.7446808510638298,0.7865168539325843,0.8696521175453762
1,control,100:1,ctgan,Naive Oversampling,416,0.7823834196891192,0.7819091691777873,0.7717391304347826,0.7473684210526316,0.797752808988764,0.8650064822817631
1,control,100:1,tvae,Naive Oversampling,416,0.7875647668393783,0.7871991394379454,0.7783783783783784,0.75,0.8089887640449438,0.8704083837510803
10,control,100:1,baseline,N/A,416,0.7772020725388601,0.7771781447174118,0.7794871794871795,0.7169811320754716,0.8539325842696629,0.8663569576490924
10,control,100:1,ddpm,Naive Oversampling,416,0.7875647668393783,0.7875647668393783,0.7875647668393783,0.7307692307692307,0.8539325842696629,0.8694900605012965
10,control,100:1,nflow,Naive Oversampling,416,0.7772020725388601,0.7771781447174118,0.7794871794871795,0.7169811320754716,0.8539325842696629,0.874027657735523
10,control,100:1,ctgan,Naive Oversampling,416,0.7927461139896373,0.7926069202664947,0.797979797979798,0.7247706422018348,0.8876404494382022,0.8767286084701815
10,control,100:1,tvae,Naive Oversampling,416,0.7927461139896373,0.7926960257787325,0.7959183673469388,0.7289719626168224,0.8764044943820225,0.8730553154710459
2,control,100:1,baseline,N/A,416,0.7875647668393783,0.7875419519398577,0.7853403141361257,0.7352941176470589,0.8426966292134831,0.8648984442523767
2,control,100:1,ddpm,Naive Oversampling,416,0.7927461139896373,0.7927405498281787,0.7916666666666666,0.7378640776699029,0.8539325842696629,0.8683556611927399
2,control,100:1,nflow,Naive Oversampling,416,0.7927461139896373,0.7927405498281787,0.7916666666666666,0.7378640776699029,0.8539325842696629,0.8631158167675022
2,control,100:1,ctgan,Naive Oversampling,416,0.7927461139896373,0.7927405498281787,0.7916666666666666,0.7378640776699029,0.8539325842696629,0.8645203111495247
2,control,100:1,tvae,Naive Oversampling,416,0.7927461139896373,0.7927405498281787,0.7916666666666666,0.7378640776699029,0.8539325842696629,0.8597126188418323
3,control,100:1,baseline,N/A,416,0.7823834196891192,0.7819091691777873,0.7920792079207921,0.7079646017699115,0.898876404494382,0.8646283491789111
3,control,100:1,ddpm,Naive Oversampling,416,0.7979274611398963,0.7977319753849461,0.8040201005025126,0.7272727272727273,0.898876404494382,0.8664109766637856
3,control,100:1,nflow,Naive Oversampling,416,0.7823834196891192,0.7820967741935484,0.79,0.7117117117117117,0.8876404494382022,0.8645743301642178
3,control,100:1,ctgan,Naive Oversampling,416,0.7823834196891192,0.7819091691777873,0.7920792079207921,0.7079646017699115,0.898876404494382,0.8632238547968886
3,control,100:1,tvae,Naive Oversampling,416,0.7979274611398963,0.797383509650327,0.8078817733990148,0.7192982456140351,0.9213483146067416,0.870300345721694
4,control,100:1,baseline,N/A,416,0.7564766839378239,0.7560575500874008,0.745945945945946,0.71875,0.7752808988764045,0.8772147796024201
5,control,100:1,baseline,N/A,416,0.7927461139896373,0.7927405498281787,0.7916666666666666,0.7378640776699029,0.8539325842696629,0.8706244598098529
6,control,100:1,baseline,N/A,416,0.8134715025906736,0.8134664948453608,0.8125,0.7572815533980582,0.8764044943820225,0.8787273120138288
7,control,100:1,baseline,N/A,416,0.8186528497409327,0.8185749200977628,0.8148148148148148,0.77,0.8651685393258427,0.8630077787381158
8,control,100:1,baseline,N/A,416,0.8186528497409327,0.818477413807003,0.8128342245989305,0.7755102040816326,0.8539325842696629,0.8690038893690579
9,control,100:1,baseline,N/A,416,0.7823834196891192,0.7823308270676692,0.7789473684210526,0.7326732673267327,0.8314606741573034,0.8760803802938633
1,control,10:1,baseline,N/A,453,0.8031088082901554,0.8028494623655914,0.7956989247311828,0.7628865979381443,0.8314606741573034,0.8672212618841832
10,control,10:1,baseline,N/A,453,0.8031088082901554,0.8031035223367697,0.8041237113402062,0.7428571428571429,0.8764044943820225,0.8785112359550562
2,control,10:1,baseline,N/A,453,0.772020725388601,0.7717204301075269,0.7634408602150538,0.7319587628865979,0.797752808988764,0.863061797752809
3,control,10:1,baseline,N/A,453,0.7979274611398963,0.7979057591623037,0.7958115183246073,0.7450980392156863,0.8539325842696629,0.8726771823681936
4,control,10:1,baseline,N/A,453,0.7772020725388601,0.7771781447174118,0.774869109947644,0.7254901960784313,0.8314606741573034,0.8683016421780467
5,control,10:1,baseline,N/A,453,0.7979274611398963,0.7979057591623037,0.8,0.7358490566037735,0.8764044943820225,0.872191011235955
6,control,10:1,baseline,N/A,453,0.8082901554404145,0.8082695663847497,0.806282722513089,0.7549019607843137,0.8651685393258427,0.8767826274848747
7,control,10:1,baseline,N/A,453,0.772020725388601,0.7719656283566058,0.7755102040816326,0.7102803738317757,0.8539325842696629,0.8557152117545377
8,control,10:1,baseline,N/A,453,0.7823834196891192,0.7819091691777873,0.7717391304347826,0.7473684210526316,0.797752808988764,0.8618193604148661
9,control,10:1,baseline,N/A,453,0.7875647668393783,0.7871991394379454,0.7783783783783784,0.75,0.8089887640449438,0.8720829732065687
1,control,1:1,baseline,N/A,712,0.8031088082901554,0.8031035223367697,0.8020833333333334,0.7475728155339806,0.8651685393258427,0.8677074330164218
10,control,1:1,baseline,N/A,712,0.8031088082901554,0.8030612244897959,0.8,0.7524752475247525,0.8539325842696629,0.870624459809853
2,control,1:1,baseline,N/A,712,0.7927461139896373,0.7927405498281787,0.7916666666666666,0.7378640776699029,0.8539325842696629,0.8687337942955919
3,control,1:1,baseline,N/A,712,0.8031088082901554,0.8031035223367697,0.8041237113402062,0.7428571428571429,0.8764044943820225,0.8693820224719101
4,control,1:1,baseline,N/A,712,0.7979274611398963,0.7979274611398963,0.7979274611398963,0.7403846153846154,0.8651685393258427,0.8705164217804667
