dataset_type,imbalance_ratio,model,strategy,f1_minority_mean,f1_minority_std,roc_auc_mean,roc_auc_std,recall_minority_mean,recall_minority_std,precision_minority_mean,precision_minority_std
control,100:1,baseline,N/A,0.7878643044395879,0.02217030750203578,0.8700356525496975,0.005619446122380939,0.8438202247191011,0.03799237349188239,0.7396999805032598,0.02253077637449952
control,100:1,ctgan,Naive Oversampling,0.7888054309474907,0.023797009321857618,0.8667783059636992,0.006919065210453729,0.852808988764045,0.04350054654152693,0.7349768710554209,0.02649111085631631
control,100:1,ddpm,Naive Oversampling,0.7900032745625503,0.025542197019663263,0.871099827139153,0.005529019074737044,0.844943820224719,0.04361326330489778,0.7426226014751417,0.021328657712393586
control,100:1,nflow,Naive Oversampling,0.7905487689940516,0.020456524189773583,0.8701220829732066,0.0074236378745668975,0.844943820224719,0.03623486628448784,0.7434587822750605,0.01922933232931466
control,100:1,tvae,Naive Oversampling,0.7953508223070993,0.023224842181298805,0.8711970613656007,0.005446147898827702,0.8573033707865167,0.04205777389851623,0.7426310240898144,0.021190186402338048
control,10:1,baseline,N/A,0.7865854559966576,0.01537340426163099,0.8688256266205704,0.007081233753555258,0.8393258426966292,0.030450152245959337,0.7406690551248497,0.015295307071024123
control,10:1,ctgan,Naive Oversampling,0.7915400644070923,0.021323881774070956,0.8699546240276577,0.007783080099470729,0.8471910112359551,0.031424984214836006,0.7432843576612,0.023069660718842533
control,10:1,ddpm,Naive Oversampling,0.7889333263067962,0.02117545720973784,0.8673779170267935,0.008115025348111808,0.8382022471910112,0.03186823578454329,0.7457362735282803,0.023335195685441394
control,10:1,nflow,Naive Oversampling,0.7879211594861841,0.020265079212135027,0.8672536732929992,0.007828728469849085,0.8393258426966292,0.032672402228560875,0.7432154859806381,0.02400857239556179
control,10:1,tvae,Naive Oversampling,0.7936616921770828,0.017791750383741537,0.8696953327571304,0.005991799455988807,0.849438202247191,0.02862168265849107,0.745333300892837,0.02127782727014364
control,1:1,baseline,N/A,0.7999987232655028,0.0057001394437594605,0.8702895419187554,0.0023042203848534096,0.8674157303370787,0.011604444483018473,0.7424355913721248,0.008621030025659556
control,1:1,ctgan,Naive Oversampling,0.7958732304809788,0.009579605361687026,0.8685933448573898,0.004811851523827225,0.8674157303370787,0.014792822215828838,0.7353718967692319,0.011289562025764543
control,1:1,ddpm,Naive Oversampling,0.8005461016870195,0.011087025217267515,0.8729148660328436,0.004794976640100881,0.8662921348314606,0.021482592359101098,0.7442986030899871,0.009402304233162469
control,1:1,nflow,Naive Oversampling,0.794947808836168,0.008684980354167217,0.869074114088159,0.001774707107614501,0.8539325842696629,0.014981273408239707,0.743697576826171,0.008157238306037798
control,1:1,tvae,Naive Oversampling,0.7987413003423719,0.008309244658178946,0.8720505617977528,0.0036981178811507365,0.8719101123595505,0.014212483865925317,0.7369984541208493,0.008028286741134785
control,20:1,baseline,N/A,0.7919698760459348,0.019428901977708187,0.8700194468452895,0.011299197474728078,0.8460674157303372,0.018386423533533452,0.7447715961120689,0.027128351858074235
control,20:1,ctgan,Naive Oversampling,0.7905946351066071,0.017340258135863568,0.8665730337078651,0.010821524647143687,0.8516853932584268,0.01479282221582887,0.7380602921551713,0.025750196355522233
control,20:1,ddpm,Naive Oversampling,0.7955190025884895,0.013834719472372149,0.8702517286084701,0.011180165713023387,0.8539325842696629,0.015890040026663988,0.745007366897233,0.022347703753843904
control,20:1,nflow,Naive Oversampling,0.7887201458672083,0.0165352214055369,0.8703111495246327,0.00866105991969569,0.8404494382022472,0.020376734844547502,0.74349345721812,0.024461605996561414
control,20:1,tvae,Naive Oversampling,0.7920289947704332,0.017887285650188732,0.8687229904926534,0.011234621815499064,0.8505617977528089,0.02121979846324388,0.7417297754466461,0.028492597824337784
control,3:1,baseline,N/A,0.7935388612021873,0.0194225771992799,0.8730661192739845,0.007846334973253611,0.8505617977528089,0.02430131565169785,0.7440431865485375,0.023003778668169078
control,3:1,ctgan,Naive Oversampling,0.7936257095759309,0.018340980777454434,0.8721261884183233,0.008325621433619411,0.8550561797752809,0.021482592359101087,0.7408189073438597,0.023822561547066443
control,3:1,ddpm,Naive Oversampling,0.793871732135073,0.018844701833538417,0.8731201382886777,0.006428126564654985,0.848314606741573,0.027649481386204867,0.7464599098875498,0.021550842354615834
control,3:1,nflow,Naive Oversampling,0.7906156886720836,0.01992579952251766,0.8725853500432154,0.008953987317609373,0.8404494382022472,0.029395381079173975,0.7467744050284459,0.02015711927905145
control,3:1,tvae,Naive Oversampling,0.7978377397504701,0.01715906221804406,0.8757886776145204,0.009624828247521986,0.8561797752808988,0.026903797746918316,0.7473103029418195,0.01778620749685268
control,50:1,baseline,N/A,0.797164264842086,0.015119805484343544,0.8744868193604148,0.00787679028319525,0.8516853932584268,0.015712492107418027,0.7495260252764465,0.022187057201903265
control,50:1,ctgan,Naive Oversampling,0.8006679459172854,0.010049412946839078,0.873806179775281,0.00923616159091745,0.8617977528089888,0.016791394585363238,0.748000713584021,0.01699493090266901
control,50:1,ddpm,Naive Oversampling,0.7959891733014586,0.014819418512245549,0.870451598962835,0.010247767619037467,0.8550561797752809,0.025096427816855366,0.7449972804435252,0.017754345947775207
control,50:1,nflow,Naive Oversampling,0.8041270598904321,0.019591344025985155,0.8782843560933449,0.009738176648498931,0.8573033707865167,0.018386423533533376,0.7573979940481431,0.024790164855153073
control,50:1,tvae,Naive Oversampling,0.801555240193115,0.016629818631094265,0.875151253241141,0.007638415170880971,0.8640449438202247,0.017922825638959403,0.7477850953640285,0.02195437281965134
control,5:1,baseline,N/A,0.8040631958778848,0.01923757530943239,0.8755185825410544,0.00952660205331442,0.8550561797752809,0.021482592359101108,0.7590184271944331,0.02181361139175363
control,5:1,ctgan,Naive Oversampling,0.8047994520823514,0.020240456396915487,0.8745084269662922,0.009201096123280903,0.8595505617977528,0.028152240408938045,0.7569691013551975,0.021152324012231206
control,5:1,ddpm,Naive Oversampling,0.8034615341970414,0.020287597638467224,0.8760965859982713,0.008931290788954431,0.8550561797752809,0.03197808869833195,0.7581854013918978,0.019130396579942387
control,5:1,nflow,Naive Oversampling,0.7986833820436932,0.02475625885360825,0.8733686257562662,0.010893516165929724,0.8415730337078651,0.03908433063129456,0.7605005324627834,0.020553453889787385
