dataset_type,imbalance_ratio,model,strategy,f1_minority_mean,f1_minority_std,roc_auc_mean,roc_auc_std,recall_minority_mean,recall_minority_std,precision_minority_mean,precision_minority_std
control,100:1,baseline,N/A,0.7808156148204297,0.014082109409512315,0.8664289830020167,0.00293613760717801,0.8426966292134832,0.05617977528089886,0.7293131901602666,0.0190748357988998
control,100:1,ctgan,Naive Oversampling,0.7808156148204297,0.014082109409512315,0.8679055027369632,0.0027804491712702553,0.8426966292134832,0.05617977528089886,0.7293131901602666,0.0190748357988998
control,100:1,ddpm,Naive Oversampling,0.7846926236741322,0.0064018790051185055,0.8667711034284068,0.007221260052299404,0.8539325842696629,0.04051181208386502,0.7270059669198035,0.01849348577165787
control,100:1,nflow,Naive Oversampling,0.7878568497523007,0.013958743237885677,0.8689138576779026,0.005041549620443792,0.850187265917603,0.05066572755980784,0.7355840581846774,0.018479806493853165
control,100:1,tvae,Naive Oversampling,0.787741821967204,0.016091949645550947,0.8733794295592049,0.0021053560144668037,0.8576779026217228,0.06188281513804616,0.7303937100275774,0.017165552315174488
control,10:1,baseline,N/A,0.7849837677569479,0.018656790140543233,0.8676894266781906,0.004817797607869284,0.8277153558052435,0.028276533465433525,0.7466478000134762,0.015522050899983902
control,10:1,ctgan,Naive Oversampling,0.7788525367472735,0.01815054453737123,0.8661408815903199,0.004865311257215927,0.8239700374531834,0.01716320485002184,0.7386207370737073,0.024017983288204852
control,10:1,ddpm,Naive Oversampling,0.7843351403386402,0.012529310122286247,0.8709125612215499,0.004697584128316405,0.8239700374531834,0.01716320485002184,0.7485630625361139,0.017643126840675667
control,10:1,nflow,Naive Oversampling,0.7868768495333485,0.023415223415833377,0.8598026505329875,0.006941460903943632,0.8239700374531834,0.03945937735150837,0.7533883728930167,0.01584379028051325
control,10:1,tvae,Naive Oversampling,0.7872680494577659,0.014798309729094579,0.869328003457217,0.00435247127884267,0.8389513108614232,0.023389505611978997,0.7416825210029093,0.010117478790371854
control,1:1,baseline,N/A,0.799291237113402,0.006681417624700322,0.8685717372515125,0.0009022954347714657,0.8651685393258427,0.011235955056179803,0.7427646786870087,0.004855029345473906
control,1:1,ctgan,Naive Oversampling,0.7972258203799655,0.005243659116314557,0.8707505041774705,0.0013923219837383084,0.8614232209737828,0.006487081676287945,0.7419405028628331,0.005037905032054442
control,1:1,ddpm,Naive Oversampling,0.7908660540239487,0.002411655259772857,0.8689858830308269,0.0013796897691221047,0.8426966292134831,0.0,0.745049504950495,0.004287254474180394
control,1:1,nflow,Naive Oversampling,0.8006291836637157,0.009883000058060346,0.8682656295015846,0.007811742241909354,0.8651685393258427,0.019461245028863837,0.745143800094295,0.004207970316548167
control,1:1,tvae,Naive Oversampling,0.7923969060512254,0.004302239472732533,0.8733434168827428,0.003962703746320667,0.8576779026217228,0.006487081676287945,0.7364002011060835,0.007640873400695396
control,20:1,baseline,N/A,0.807878486831853,0.008155371869806288,0.8782411408815903,0.0030250648228176136,0.850187265917603,0.01716320485002184,0.7700084461980694,0.019563013476304753
control,20:1,ctgan,Naive Oversampling,0.8056327160493827,0.008019867377211155,0.8776829443964275,0.005124788602512273,0.8539325842696629,0.019461245028863757,0.762802049622438,0.013195483670630878
control,20:1,ddpm,Naive Oversampling,0.8036540240518039,0.023515465616174316,0.875324114088159,0.0030524328423911624,0.8426966292134832,0.022471910112359578,0.7682083997873471,0.027336438345948868
control,20:1,nflow,Naive Oversampling,0.8077702702702703,0.0067820472634746,0.8747839239412274,0.002526796794193243,0.850187265917603,0.02338950561197902,0.7697882955771306,0.012018347892345725
control,20:1,tvae,Naive Oversampling,0.7964874373251337,0.0032281194506485,0.8762784500144051,0.003960862369656611,0.8426966292134832,0.01123595505617972,0.75531045751634,0.013664811016076634
control,50:1,baseline,N/A,0.7881826990583062,0.010395430516536268,0.8670231921636415,0.005208658199874636,0.8426966292134831,0.0,0.7404346203851154,0.01830498410011897
control,50:1,ctgan,Naive Oversampling,0.7916666666666666,0.010416666666666671,0.8651865456640738,0.0060953782127073156,0.8539325842696629,0.011235955056179803,0.7378640776699029,0.009708737864077666
control,50:1,ddpm,Naive Oversampling,0.7790487645161189,0.010922476198462703,0.8625936329588014,0.004159581054005125,0.8314606741573035,0.0,0.7330129462788352,0.019451198618729175
control,50:1,nflow,Naive Oversampling,0.7889616342948972,0.017471919903370197,0.8646823681936041,0.009017616613088615,0.846441947565543,0.012974163352575813,0.7389921625215742,0.0248558060521255
control,50:1,tvae,Naive Oversampling,0.7952143535476868,0.007869173767489003,0.8663929703255547,0.0014953935967297355,0.8576779026217228,0.006487081676287945,0.7414263906698418,0.01707348902498438
control,5:1,baseline,N/A,0.7840513520614011,0.019503862118987907,0.8648804379141458,0.009633020722724615,0.8352059925093633,0.0064870816762878335,0.739044224769613,0.02978513942722773
control,5:1,ctgan,Naive Oversampling,0.7820080408931656,0.018996428919129976,0.8610090751944685,0.0006549457461636275,0.8389513108614232,0.01716320485002184,0.7326578430114185,0.02828165088363215
control,5:1,ddpm,Naive Oversampling,0.7910678726855198,0.0269207563348646,0.8686617689426678,0.009393925810802105,0.8352059925093633,0.017163204850021894,0.7516704092640293,0.03707686650255812
control,5:1,nflow,Naive Oversampling,0.7719236344902777,0.01894793498653492,0.8650965139729184,0.016242605399424147,0.8164794007490638,0.006487081676287945,0.7323262047566986,0.03129072659466361
control,5:1,tvae,Naive Oversampling,0.7931154532864538,0.017612136310804404,0.8644302794583694,0.007834123009491453,0.846441947565543,0.012974163352575828,0.746317567392532,0.0252994835213971
imbalanced,100:1,baseline,N/A,0.0770988978504775,0.05822567148192203,0.7649992797464708,0.009804909995271999,0.04119850187265917,0.03243540838143965,0.7916666666666666,0.26020824993326663
imbalanced,100:1,ctgan,Naive Oversampling,0.14131868131868133,0.08490943625802919,0.7403125900316913,0.030787157912329235,0.07865168539325842,0.04897639262405251,0.9090909090909092,0.0909090909090909
imbalanced,100:1,ddpm,Naive Oversampling,0.05720531787793284,0.0438391662147855,0.6718164794007491,0.05474827361234109,0.0299625468164794,0.023389505611979017,0.8333333333333334,0.28867513459481287
imbalanced,100:1,nflow,Naive Oversampling,0.08929006375814887,0.08278820471753062,0.7140953615672716,0.04638105233472505,0.04868913857677903,0.046779011223958035,0.8333333333333334,0.20816659994661327
imbalanced,100:1,tvae,Naive Oversampling,0.5123617562486176,0.14943682744350528,0.7830416306539902,0.05952631527347072,0.4119850187265917,0.17491077796008414,0.7210485133020343,0.03031592292322883
imbalanced,10:1,baseline,N/A,0.6218956249574744,0.012603407947371921,0.8771247479112648,0.011139492752693457,0.4868913857677903,0.017163204850021894,0.8612501604415351,0.014684529278350424
imbalanced,10:1,ctgan,Naive Oversampling,0.6859138555160044,0.02442622549039239,0.8541306539902044,0.00989747663463498,0.602996254681648,0.04677901122395804,0.7985868221162339,0.024834432383963736
imbalanced,10:1,ddpm,Naive Oversampling,0.592099375026843,0.024692281843110196,0.8791954768078364,0.012397373679452702,0.44569288389513106,0.017163204850021874,0.8819426145513102,0.044982690737728176
imbalanced,10:1,nflow,Naive Oversampling,0.5229981266255616,0.081906609650066,0.8507814750792279,0.015925473731029913,0.39325842696629215,0.10718417993448828,0.8176470588235295,0.045225735665375646
imbalanced,10:1,tvae,Naive Oversampling,0.7455812626752798,0.007495609142291562,0.8783671852492079,0.016496626440409085,0.6966292134831461,0.011235955056179789,0.8026421883128143,0.028588192128777144
imbalanced,1:1,baseline,N/A,0.806067021367964,0.0162957885168914,0.8707685105157014,0.003783002676143156,0.8876404494382023,0.02247191011235954,0.7382442837829895,0.011792624495355942
imbalanced,1:1,ctgan,Naive Oversampling,0.806067021367964,0.0162957885168914,0.8707685105157014,0.003783002676143156,0.8876404494382023,0.02247191011235954,0.7382442837829895,0.011792624495355942
imbalanced,1:1,ddpm,Naive Oversampling,0.806067021367964,0.0162957885168914,0.8707685105157014,0.003783002676143156,0.8876404494382023,0.02247191011235954,0.7382442837829895,0.011792624495355942
imbalanced,1:1,nflow,Naive Oversampling,0.806067021367964,0.0162957885168914,0.8707685105157014,0.003783002676143156,0.8876404494382023,0.02247191011235954,0.7382442837829895,0.011792624495355942
imbalanced,1:1,tvae,Naive Oversampling,0.806067021367964,0.0162957885168914,0.8707685105157014,0.003783002676143156,0.8876404494382023,0.02247191011235954,0.7382442837829895,0.011792624495355942
imbalanced,20:1,baseline,N/A,0.44184587813620074,0.058525853788919405,0.8442631806395852,0.008727206088304594,0.2958801498127341,0.053099051980366394,0.8911373806184465,0.029846564118636287
imbalanced,20:1,ctgan,Naive Oversampling,0.3951081981133327,0.03158915647570696,0.8348638720829732,0.02148714531465589,0.2546816479400749,0.023389505611979004,0.8823599240265908,0.04039210986131642
imbalanced,20:1,ddpm,Naive Oversampling,0.38352890047805305,0.09898508526523571,0.8403558052434458,0.012128481859843668,0.24719101123595508,0.07784498011545515,0.9088122605363985,0.021235871970193138
imbalanced,20:1,nflow,Naive Oversampling,0.3695380062536966,0.06294249040057706,0.810555315471046,0.006547006525761073,0.23595505617977527,0.051489614550065635,0.8796296296296297,0.04243125643477625
imbalanced,20:1,tvae,Naive Oversampling,0.7179470139996456,0.044685189666342266,0.8620354364736387,0.001976682634348772,0.6666666666666666,0.10070658921160111,0.7908139426221849,0.04966236492847215
imbalanced,50:1,baseline,N/A,0.2191339353341006,0.12765651542941983,0.7972306251800633,0.016764036278569486,0.13108614232209737,0.0843320617917431,0.8277432712215321,0.028607412752655673
imbalanced,50:1,ctgan,Naive Oversampling,0.2341172845845743,0.19320948497795315,0.7874891961970613,0.022217450075581832,0.1460674157303371,0.1251183002883151,0.7393162393162394,0.20883404654479687
imbalanced,50:1,ddpm,Naive Oversampling,0.15308397606534252,0.08324420399553592,0.7630365888792854,0.0540710189751445,0.08614232209737827,0.0506657275598078,0.8962962962962964,0.10020555006273095
imbalanced,50:1,nflow,Naive Oversampling,0.09002944486815456,0.06284244414131931,0.7800705848458657,0.021048385054528287,0.04868913857677903,0.036118542176003576,0.85,0.1322875655532295
imbalanced,50:1,tvae,Naive Oversampling,0.6123705745519885,0.06645239221529639,0.802128349178911,0.05788880358708809,0.5280898876404495,0.07016851683593707,0.7332926146485468,0.08609786024874727
